longwave_radiance	isotropic_longwave_radiance_in_air
moles_of_halon1301_in_atmosphere	atmosphere_moles_of_halon1301
tendency_of_moles_of_halon1301_in_atmosphere	tendency_of_atmosphere_moles_of_halon1301
moles_of_halon1211_in_atmosphere	atmosphere_moles_of_halon1211
tendency_of_moles_of_halon1211_in_atmosphere	tendency_of_atmosphere_moles_of_halon1211
moles_of_halon1202_in_atmosphere	atmosphere_moles_of_halon1202
tendency_of_moles_of_halon1202_in_atmosphere	tendency_of_atmosphere_moles_of_halon1202
moles_of_cfc12_in_atmosphere	atmosphere_moles_of_cfc12
tendency_of_moles_of_cfc12_in_atmosphere	tendency_of_atmosphere_moles_of_cfc12
moles_of_cfc115_in_atmosphere	atmosphere_moles_of_cfc115
tendency_of_moles_of_cfc115_in_atmosphere	tendency_of_atmosphere_moles_of_cfc115
moles_of_cfc114_in_atmosphere	atmosphere_moles_of_cfc114
tendency_of_moles_of_cfc114_in_atmosphere	tendency_of_atmosphere_moles_of_cfc114
moles_of_cfc113_in_atmosphere	atmosphere_moles_of_cfc113
tendency_of_moles_of_cfc113_in_atmosphere	tendency_of_atmosphere_moles_of_cfc113
moles_of_cfc11_in_atmosphere	atmosphere_moles_of_cfc11
moles_per_unit_mass_of_cfc11_in_sea_water	moles_of_cfc11_per_unit_mass_in_sea_water
tendency_of_moles_of_cfc11_in_atmosphere	tendency_of_atmosphere_moles_of_cfc11
effective_radius_of_stratiform_cloud_snow_particle	effective_radius_of_stratiform_cloud_snow_particles
product_of_geopotential_height_and_omega	product_of_lagrangian_tendency_of_air_pressure_and_geopotential_height
product_of_omega_and_specific_humidity	product_of_lagrangian_tendency_of_air_pressure_and_specific_humidity
product_of_specific_humidity_and_omega	product_of_lagrangian_tendency_of_air_pressure_and_specific_humidity
volume_fraction_of_water_in_soil	volume_fraction_of_condensed_water_in_soil
volume_fraction_of_water_in_soil_at_critical_point	volume_fraction_of_condensed_water_in_soil_at_critical_point
volume_fraction_of_water_in_soil_at_field_capacity	volume_fraction_of_condensed_water_in_soil_at_field_capacity
volume_fraction_of_water_in_soil_at_wilting_point	volume_fraction_of_condensed_water_in_soil_at_wilting_point
integral_wrt_depth_of_product_of_sea_water_density_and_salinity	integral_wrt_depth_of_product_of_salinity_and_sea_water_density
sea_water_to_direction	sea_water_velocity_to_direction
direction_of_sea_water_velocity	sea_water_velocity_to_direction
sea_water_from_direction	sea_water_velocity_from_direction
atmosphere_cloud_liquid_water_content	atmosphere_mass_content_of_cloud_liquid_water
effective_radius_of_cloud_liquid_water_particle	effective_radius_of_cloud_liquid_water_particles
effective_radius_of_convective_cloud_liquid_water_particle	effective_radius_of_convective_cloud_liquid_water_particles
effective_radius_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top	effective_radius_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top
effective_radius_of_stratiform_cloud_liquid_water_particle	effective_radius_of_stratiform_cloud_liquid_water_particles
effective_radius_of_stratiform_cloud_liquid_water_particle_at_stratiform_liquid_water_cloud_top	effective_radius_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top
number_concentration_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top	number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top
number_concentration_of_stratiform_cloud_liquid_water_particle_at_stratiform_liquid_water_cloud_top	number_concentration_of_stratiform_cloud_liquid_water_particles_at_stratiform_liquid_water_cloud_top
cloud_liquid_water_content_of_atmosphere_layer	mass_content_of_cloud_liquid_water_in_atmosphere_layer
effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top	effective_radius_of_cloud_liquid_water_particles_at_liquid_water_cloud_top
atmosphere_convective_cloud_liquid_water_content	atmosphere_mass_content_of_convective_cloud_liquid_water
tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_cloud_liquid	tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_riming_from_cloud_liquid_water
tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_cloud_liquid	tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_heterogeneous_nucleation_from_cloud_liquid_water
tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_cloud_liquid	tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_melting_to_cloud_liquid_water
growth_limitation_of_diazotrophs_due_to_solar_irradiance	growth_limitation_of_diazotrophic_phytoplankton_due_to_solar_irradiance
iron_growth_limitation_of_diazotrophs	iron_growth_limitation_of_diazotrophic_phytoplankton
mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water	mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water
mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water	mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water
net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophs	net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophic_phytoplankton
net_primary_mole_productivity_of_carbon_by_diazotrophs	net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diazotrophic_phytoplankton
nitrogen_growth_limitation_of_diazotrophs	nitrogen_growth_limitation_of_diazotrophic_phytoplankton
tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophs	tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophic_phytoplankton
mass_fraction_of_rain_and_drizzle_in_air	mass_fraction_of_liquid_precipitation_in_air
mass_fraction_of_rain_in_air	mass_fraction_of_liquid_precipitation_in_air
land_cover	area_type
surface_cover	area_type
eastward_wind_shear	upward_derivative_of_eastward_wind
northward_wind_shear	upward_derivative_of_northward_wind
atmosphere_absolute_vorticity	atmosphere_upward_absolute_vorticity
atmosphere_relative_vorticity	atmosphere_upward_relative_vorticity
snow_density	surface_snow_density
surface_snow_and_ice_sublimation_flux	tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice
integral_of_surface_downward_northward_stress_wrt_time	integral_wrt_time_of_surface_downward_northward_stress
integral_of_surface_downward_eastward_stress_wrt_time	integral_wrt_time_of_surface_downward_eastward_stress
snow_thermal_energy_content	thermal_energy_content_of_surface_snow
surface_snow_thickness_where_sea_ice	surface_snow_thickness
liquid_water_content_of_snow_layer	liquid_water_content_of_surface_snow
snow_soot_content	soot_content_of_surface_snow
biological_taxon_identifier	biological_taxon_lsid
water_evaporation_flux	water_evapotranspiration_flux
vertical_drainage_amount_in_soil	drainage_amount_through_base_of_soil_model
moles_of_particulate_inorganic_carbon_per_unit_mass_of_sea_water	moles_of_particulate_inorganic_carbon_per_unit_mass_in_sea_water
water_flux_correction	water_flux_into_sea_water_due_to_flux_adjustment
heat_flux_correction	heat_flux_into_sea_water_due_to_flux_adjustment
volume_backwards_scattering_coefficient_in_air_due_to_dried_aerosol_particles	volume_backwards_scattering_coefficient_of_radiative_flux_in_air_due_to_dried_aerosol_particles
volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles	volume_extinction_coefficient_of_radiative_flux_in_air_due_to_ambient_aerosol_particles
volume_extinction_coefficient_in_air_due_to_ambient_aerosol	volume_extinction_coefficient_of_radiative_flux_in_air_due_to_ambient_aerosol_particles
volume_extinction_coefficient_in_air_due_to_cloud_particles	volume_extinction_coefficient_of_radiative_flux_in_air_due_to_cloud_particles
volume_attenuated_backwards_scattering_function_in_air_assuming_no_aerosol_or_cloud	volume_attenuated_backwards_scattering_coefficient_of_radiative_flux_in_air_assuming_no_aerosol_or_cloud
volume_attenuated_backwards_scattering_function_in_air	volume_attenuated_backwards_scattering_coefficient_of_radiative_flux_in_air
volume_absorption_coefficient_in_air_due_to_dried_aerosol_particles	volume_absorption_coefficient_of_radiative_flux_in_air_due_to_dried_aerosol_particles
equivalent_temperature	air_equivalent_temperature
equivalent_potential_temperature	air_equivalent_potential_temperature
pseudo_equivalent_potential_temperature	air_pseudo_equivalent_potential_temperature
pseudo_equivalent_temperature	air_pseudo_equivalent_temperature
surface_temperature_where_land	surface_temperature
surface_temperature_where_open_sea	surface_temperature
surface_temperature_where_snow	surface_temperature
solid_earth_subsurface_temperature	temperature_in_ground
snow_temperature	temperature_in_surface_snow
integral_wrt_depth_of_product_of_sea_water_density_and_conservative_temperature	integral_wrt_depth_of_product_of_conservative_temperature_and_sea_water_density
integral_wrt_depth_of_product_of_sea_water_density_and_potential_temperature	integral_wrt_depth_of_product_of_potential_temperature_and_sea_water_density
integral_wrt_depth_of_sea_water_temperature_in_ocean_layer	integral_wrt_depth_of_sea_water_temperature
ocean_integral_wrt_depth_of_sea_water_temperature	integral_wrt_depth_of_sea_water_temperature
integral_of_sea_water_temperature_wrt_depth_in_ocean_layer	integral_wrt_depth_of_sea_water_temperature
ocean_integral_of_sea_water_temperature_wrt_depth	integral_wrt_depth_of_sea_water_temperature
universal_thermal_climate_index	universal_thermal_comfort_index
product_of_omega_and_air_temperature	product_of_lagrangian_tendency_of_air_pressure_and_air_temperature
product_of_air_temperature_and_omega	product_of_lagrangian_tendency_of_air_pressure_and_air_temperature
integral_of_air_temperature_deficit_wrt_time	integral_wrt_time_of_air_temperature_deficit
integral_of_air_temperature_excess_wrt_time	integral_wrt_time_of_air_temperature_excess
tendency_of_air_temperature_due_to_large_scale_precipitation	tendency_of_air_temperature_due_to_stratiform_precipitation
tendency_of_sea_water_temperature_due_to_bolus_advection	tendency_of_sea_water_temperature_due_to_parameterized_eddy_advection
upward_geothermal_heat_flux_at_ground_level_in_land_ice	upward_heat_flux_at_base_of_grounded_ice_sheet
ocean_volume_fraction	sea_water_volume_fraction
large_scale_cloud_area_fraction	stratiform_cloud_area_fraction
floating_ice_sheet_area_fraction	floating_ice_shelf_area_fraction
photolysis_rate_of_ozone_to_1D_oxygen_atom	photolysis_rate_of_ozone_to_atomic_singlet_oxygen
sea_water_potential_temperature_expressed_as_heat_content	integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content
integral_of_sea_water_potential_temperature_wrt_depth_expressed_as_heat_content	integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content
tendency_of_sea_water_potential_temperature_expressed_as_heat_content	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_advection
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection
tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection	tendency_of_integral_wrt_depth_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_eddy_advection
tendency_of_sea_water_salinity_expressed_as_salt_content	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_mesoscale_eddy_advection
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_mesoscale_eddy_diffusion	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_mesoscale_eddy_diffusion
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_submesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_parameterized_submesoscale_eddy_advection
tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_residual_mean_advection	tendency_of_integral_wrt_depth_of_sea_water_salinity_expressed_as_salt_mass_content_due_to_residual_mean_advection
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_dianeutral_mixing	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_dianeutral_mixing
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_diffusion
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_mesoscale_eddy_advection
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_residual_mean_advection	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_residual_mean_advection
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_submesoscale_eddy_advection
tendency_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection	tendency_of_integral_wrt_depth_of_sea_water_conservative_temperature_expressed_as_heat_content_due_to_parameterized_eddy_advection
vegetation_carbon_content	vegetation_mass_content_of_carbon
