longwave_radiance	isotropic_longwave_radiance_in_air
atmosphere_content_of_sulfate_aerosol	atmosphere_mass_content_of_sulfate_ambient_aerosol_particles
atmosphere_mass_content_of_sulfate_dry_aerosol	atmosphere_mass_content_of_sulfate_dry_aerosol_particles
atmosphere_mass_content_of_water_in_ambient_aerosol	atmosphere_mass_content_of_water_in_ambient_aerosol_particles
atmosphere_moles_of_nitric_acid_trihydrate_ambient_aerosol	atmosphere_moles_of_nitric_acid_trihydrate_ambient_aerosol_particles
atmosphere_optical_thickness_due_to_ambient_aerosol	atmosphere_optical_thickness_due_to_ambient_aerosol_particles
atmosphere_optical_thickness_due_to_aerosol	atmosphere_optical_thickness_due_to_ambient_aerosol_particles
atmosphere_optical_thickness_due_to_dust_ambient_aerosol	atmosphere_optical_thickness_due_to_dust_ambient_aerosol_particles
atmosphere_optical_thickness_due_to_dust_dry_aerosol	atmosphere_optical_thickness_due_to_dust_dry_aerosol_particles
atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol	atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles
mass_concentration_of_dust_dry_aerosol_in_air	mass_concentration_of_dust_dry_aerosol_particles_in_air
mass_concentration_of_coarse_mode_ambient_aerosol_in_air	mass_concentration_of_coarse_mode_ambient_aerosol_particles_in_air
mass_concentration_of_ammonium_dry_aerosol_in_air	mass_concentration_of_ammonium_dry_aerosol_particles_in_air
atmosphere_mass_content_of_sulfate_dry_aerosol_expressed_as_sulfur	atmosphere_mass_content_of_sulfate_dry_aerosol_particles_expressed_as_sulfur
atmosphere_mass_content_of_sulfate_expressed_as_sulfur_dry_aerosol	atmosphere_mass_content_of_sulfate_dry_aerosol_particles_expressed_as_sulfur
mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air	mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_particles_in_air
mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air	mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air
atmosphere_optical_thickness_due_to_water_in_ambient_aerosol	atmosphere_optical_thickness_due_to_water_in_ambient_aerosol_particles
mass_concentration_of_mercury_dry_aerosol_in_air	mass_concentration_of_mercury_dry_aerosol_particles_in_air
mass_concentration_of_nitrate_dry_aerosol_in_air	mass_concentration_of_nitrate_dry_aerosol_particles_in_air
mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_in_air	mass_concentration_of_nitric_acid_trihydrate_ambient_aerosol_particles_in_air
mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air	mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air
mass_concentration_of_sulfate_ambient_aerosol_in_air	mass_concentration_of_sulfate_ambient_aerosol_particles_in_air
mass_concentration_of_sulfate_aerosol_in_air	mass_concentration_of_sulfate_ambient_aerosol_particles_in_air
mass_concentration_of_sulfate_dry_aerosol_in_air	mass_concentration_of_sulfate_dry_aerosol_particles_in_air
mass_concentration_of_water_in_ambient_aerosol_in_air	mass_concentration_of_water_in_ambient_aerosol_particles_in_air
mass_fraction_of_ammonium_dry_aerosol_in_air	mass_fraction_of_ammonium_dry_aerosol_particles_in_air
